"pays","longitude","latitude","nvm_imp_id","nvm_hauteur_max_observee","nvm_date_hauteur_max_observee","nvm_hauteur_max_instantanee","nvm_date_hauteur_max_instantanee","nvm_surcote_pleine_mer","nvm_surcote_instantanee","nvm_id","nvm_extrait_source"
"France","1.3720200766653647","50.05305242572905",2102,"592","1990-02-27 04:49:00","275","1990-02-26 07:59:00","32","40",356,"Présence de seiches à pleine mer sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Sous estimation de l'ordre de 10 cm de la hauteur max relevée le 27 février."
"France","-2.432236741532222","47.27015247255872",2392,"506","1990-10-16 14:16:00","436","1990-10-15 02:55:00","12","26",113,NULL
"France","-1.083353228528427","44.616322250366046",2395,"518","1990-10-16 14:26:00","210","1990-10-15 06:06:00","13","23",123,NULL
"France","-1.918709133119819","46.69041574359187",2390,"608","1990-10-16 18:35:00","582","1990-10-15 18:58:00","-1","31",399,NULL
"France","-1.7935280000170337","46.497358000271674",2391,"593","1990-10-16 22:47:00","450","1990-10-15 19:59:00","11","30",361,NULL
"France","-1.9486725547135157","46.6961773660592",2115,"471","1992-10-26 15:28:00","126","1992-10-26 22:59:00","13","27",62,NULL
"France","2.1195115001942164","50.98531391313848",2114,"626","1992-10-26 15:30:00","561","1992-10-26 17:36:00","23","32",440,NULL
"France","-1.1642484352169618","46.45119870535615",2112,"568","1992-10-26 15:51:00","97","1992-10-26 22:11:00","15","32",287,NULL
"France","-1.225381484467789","45.83277136760472",2105,"456","1992-10-26 15:58:00","92","1992-10-25 21:17:00","0","20",44,NULL
"France","-3.1982561336935422","47.6574199996723",2123,"531","1992-11-11 03:39:00","408","1992-11-11 06:19:00","15","22",152,NULL
"France","-1.0275206140848923","45.9883924196746",2137,"464","1993-09-14 13:56:00","266","1993-09-14 05:00:00","34","52",52,NULL
"France","-3.333829972375156","47.695125120628006",2136,"609","1993-09-14 14:05:00","461","1993-09-13 04:30:00","36","124",404,NULL
"France","-2.7679178366633703","47.537694380606915",2404,"548","1993-11-13 15:09:00","219","1993-11-13 19:06:00","5","16",198,NULL
"France","-2.6603105716753817","47.53058426695054",2407,"564","1993-11-14 03:14:00","380","1993-11-13 11:52:00","3","15",270,NULL
"France","-1.6944239499283034","49.66327508196097",2147,"592","1994-01-29 04:25:00","204","1994-01-27 20:30:00","-23","6",357,NULL
"France","-4.718111028001374","48.35102598226342",2148,"433","1994-01-29 04:29:00","176","1994-01-27 23:50:00","-19","-5",30,NULL
"France","-0.5839319582930784","49.33397179546216",2142,"509","1994-01-29 04:46:00","322","1994-01-27 18:42:00","-29","2",118,NULL
"France","2.2488026009134994","51.020500769496046",2145,"524","1994-01-29 04:50:00","327","1994-01-27 12:31:00","-22","10",138,NULL
"France","-2.2623033748007515","47.00861471709567",2159,"606","1994-03-31 05:50:00","221","1994-04-01 00:04:00","17","84",396,NULL
"France","-2.353411555398793","47.2910000409193",2157,"520","1994-03-31 18:31:00","109","1994-04-01 00:41:00","17","38",129,NULL
"France","-2.0199943853807394","48.651674253265874",2154,"537","1994-03-31 18:41:00","381","1994-03-31 21:33:00","34","47",164,NULL
"France","-3.0465521468639167","48.7846238563061",2169,"579","1995-09-07 14:15:00","438","1995-09-07 11:29:00","47","58",319,"Présence de seiches à pleine mer sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Sous estimation de l'ordre de 25 cm de la hauteur max relevée le 7 septembre."
"France","-1.1645744305687014","46.155887428669196",2166,"564","1995-09-07 14:19:00","175","1995-09-07 07:56:00","50","54",271,NULL
"France","-3.370281457262517","47.763258151921974",2187,"528","1996-02-06 04:22:00","389","1996-02-07 08:03:00","22","50",146,NULL
"France","-0.7304278359756609","45.417937824671014",2190,"556","1996-02-06 04:27:00","206","1996-02-07 10:20:00","45","68",241,"Présence de seiches d'amplitude comprise entre ± 5cm et ± 25cm à pleine mer sur la période concernée. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure). Sous estimation de l'ordre de 15 cm de la hauteur max relevée."
"France","2.3860480947966076","51.04936786422389",2193,"628","1996-02-07 16:55:00","382","1996-02-07 14:09:00","54","76",445,NULL
"France","-1.9808264633704198","48.63974171310974",2198,"520","1996-02-18 02:57:00","360","1996-02-18 12:30:00","-16","18",130,"Pas d'enregistrement du 19 au 21 février, pendant la tempête"
"France","-1.58111241620486","49.03844560128363",2205,"496","1996-02-20 04:22:00","200","1996-02-19 07:19:00","16","37",93,NULL
"France","-4.335422499683765","47.888871639095214",2213,"547","1996-10-27 15:59:00","253","1996-10-28 00:16:00","-5","13",194,NULL
"France","-1.5329272059256596","48.622538297504605",2216,"619","1996-10-28 16:35:00","189","1996-10-28 22:05:00","22","38",417,NULL
"France","-1.4250222036609115","48.67468107209621",2226,"537","1998-01-03 06:55:00","250","1998-01-05 13:14:00","17","43",165,"Présence de seiches d'amplitude comprise entre ± 5cm et ± 15cm à pleine mer. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure)."
"France","-4.761992598279619","48.35531159715265",2238,"566","1998-01-13 03:48:00","327","1998-01-13 12:20:00","47","84",278,"Présence de seiches d'amplitude maximale ± 15cm d'après l'analyse du marégramme original. Phénomène filtré dans la série de données analysée (pas de temps de 1 heure)"
"France","-1.0348803878194985","46.03988939687832",2246,"506","1998-10-23 04:50:00","297","1998-10-24 13:53:00","7","39",114,NULL
"France","-1.4998534128046117","46.24291362946059",2253,"608","1998-10-24 17:35:00","604","1998-10-24 17:50:00","74","76",400,NULL
"France","-1.2647926669478693","49.66837719255358",2247,"599","1998-10-24 17:40:00","565","1998-10-24 19:03:00","42","54",372,NULL
"France","-1.074030789389269","45.98218208743356",2250,"519","1998-10-24 17:44:00","464","1998-10-24 19:33:00","36","43",125,NULL
"France","-1.247992156612554","46.33661021269131",2718,"570","1999-12-24 04:40:00","105","1999-12-24 09:43:00","8","19",296,NULL
"France","0.20472630037863837","49.70402599290543",2721,"566","1999-12-25 05:20:00","293","1999-12-27 15:11:00","30","91",279,NULL
"France","-3.5667982795351314","48.698491064886795",2747,"408","1999-12-27 00:00:00",NULL,NULL,"217",NULL,18,"data in m NGF modeled data. Storm Track : from West (modeled) / Wind Speed max (m/s) 41 at Baleines (measured) / Wind direction : 275° (measured)  / Lowest pressure 968hPa at Yeu (measured) / Hs max : 11m, Tp (s) 15 / Dm 265°"
